Quel est l'objectif principal de la stratégie « Auderghem Horizon 2030 » proposée à Carinne Lenoir ?,"Doter le mandat d'outils d'innovation civique, de résilience urbaine et d'inclusion sociale."
"Dans le paysage politique d'Auderghem, quelle position singulière occupe Carinne Lenoir pour piloter cette stratégie ?","Une position charnière entre le législatif communal (DéFI), l'action sociale (CPAS) et l'emploi (ALE)."
Comment est définie la posture politique de « vigilance constructive » adoptée par Carinne Lenoir au sein de la majorité ?,Elle soutient la modernisation tout en exigeant la prise en compte des externalités humaines négatives des grands projets.
Quel concept d'urbanisme Carinne Lenoir défend-elle à travers ses interventions sur les projets Beaulieu et Pêcheries ?,"L'Urbanisme de « Care » (Soin), garant de la vivabilité pendant les transitions urbaines."
Quelle est la critique principale adressée aux outils de participation actuels comme Fluicity (nous.auderghem.be) ?,Ils créent un biais d'exclusion en favorisant les populations connectées et éduquées (CSP+) au détriment des seniors et précaires.
Pourquoi l'Agence Locale pour l'Emploi (ALE) est-elle stratégiquement cruciale pour le modèle économique alternatif ?,C'est une structure capable de valider des activités d'utilité publique et de gérer des flux financiers vers des publics en insertion.
Quels sont les trois piliers fondamentaux de la démarche « Low-Tech » ?,"L'utilité (besoins essentiels), l'accessibilité (technologies universelles) et la durabilité (réduction de l'empreinte carbone)."
Quel pourcentage de la population senior d'Auderghem est estimé touché par la fracture numérique (« illectronisme ») ?,Environ $40\%$.
Définissez le concept d'ARG (Alternate Reality Game) Civique appliqué à l'urbanisme.,Un jeu utilisant le monde réel comme plateau pour motiver des comportements civiques via une narration et des objectifs.
"Dans la gamification urbaine, à quoi correspond le besoin de « compétence » selon la théorie de l'autodétermination ?",Au sentiment de réussite d'un citoyen lorsqu'il accomplit une quête ou une mission d'intérêt général.
Quel est l'avantage du canal « Universel » (SMS et SVI) dans le dispositif Auderghem Discovery ?,Garantir l'inclusion des seniors et des personnes sans smartphone via des technologies robustes et simples.
Comment l'interface hybride de l'ARG résout-elle l'élitisme technologique des plateformes classiques ?,"En proposant trois canaux simultanés : Smart (Web-App), Universel (SMS/Voix) et Physique (Mobilier urbain/Papier)."
"Dans le scénario « Les Chroniques de Beaulieu », quel outil est utilisé pour humaniser les projets de bétonisation ?",La narration immersive (audio-description) accessible par téléphone pour recueillir des avis qualitatifs.
Quel mécanisme de « Nudge » est proposé pour apaiser les tensions liées au chantier de la rue des Pêcheries ?,La transformation du chantier en parcours éducatif et ludique avec des récompenses pour l'usage des déviations piétonnes.
En quoi consiste le rôle de « Game Master » invisible dans le soutien opérationnel proposé ?,"Gérer la conception des scénarios, l'installation physique des balises et le reporting technique sans apparaître publiquement."
Quelle est la fonction d'un « Shadow Cabinet » opérationnel pour une élue locale ?,Fournir une capacité d'analyse technique et de veille stratégique pour rendre les interventions politiques inattaquables.
Expliquez le mécanisme de « Proof of Care » (Preuve de Soin) dans l'écosystème de la Zinne Civique.,Une action citoyenne positive validée génère des « Crédits Citoyens » convertibles en monnaie locale.
Comment la boucle économique de la Zinne soutient-elle le commerce local auderghemois ?,Les récompenses en Zinnes ne peuvent être dépensées que dans le réseau de commerçants partenaires locaux.
Quel est l'impact social de la transformation des « Crédits Citoyens » en valeur curriculaire ?,Elle permet de valoriser des compétences informelles (soft skills) pour l'insertion socioprofessionnelle des jeunes.
Quelle innovation est proposée pour moderniser l'image de l'ALE d'Auderghem ?,Le lancement d'une branche « ALE 2.0 » utilisant l'interface ludique de l'ARG pour recruter de nouveaux prestataires.
Qu'est-ce que le « Passeport Bénévole » dans le cadre de la stratégie Horizon 2030 ?,Un document certifiant les soft skills et compétences numériques acquises par le citoyen via ses quêtes dans l'ARG.
Sur quelle base légale repose la distribution de Zinnes pour éviter la requalification en salaire ?,"La Loi sur le Volontariat de 2005, qualifiant la rétribution de « défraiement forfaitaire »."
Comment le système de jeu garantit-il le respect de la législation sur le volontariat ?,En bloquant automatiquement l'attribution de récompenses dès que les plafonds légaux annuels ou journaliers sont atteints.
Pourquoi le recours à une ASBL tierce est-il suggéré pour la gestion de l'ARG ?,Pour créer un « protocole parapluie » protégeant l'élue et la commune de toute responsabilité juridique directe.
Quel est le seuil budgétaire permettant de passer un marché public de gré à gré simple pour le projet pilote ?,Un montant inférieur à $30.000$ euros.
"Selon l'échelle d'Arnstein, quel niveau de participation l'ARG vise-t-il à atteindre ?",Le partenariat et la délégation de pouvoir (co-diagnostic du territoire).
Comment l'ARG permet-il de collecter des « données chaudes » pour la commune ?,"En captant les comportements réels, les flux piétons et les verbatims audio sur le terrain."
Citez trois commerces partenaires clés de la Zinne à Auderghem mentionnés dans le rapport.,"The Barn Bio Market, Vrak, et le Delhaize Hankar."
Quel est l'objectif du projet « Sim-Auderghem : Beaulieu » ?,Utiliser la réalité augmentée légère pour permettre aux riverains de visualiser et voter sur les options d'aménagement.
Comment le projet « La Brigade Anti-Gaspi » résout-il le conflit entre Happy Hour Market et l'épicerie sociale ?,En incitant ludiquement les citoyens à signaler et collecter les invendus pour les associations caritatives.
Quel organisme est responsable de la validation des compétences acquises hors école en Belgique francophone ?,Le Consortium de Validation des Compétences (CVDC).
En quoi consiste la mission de « Médiateur de chantier numérique » proposée via l'ALE ?,"Aider les seniors à utiliser les interfaces SMS ou Web de l'ARG, créant un lien intergénérationnel."
